36,
New York City,Detroit,St. Louis,Chicago,Indianapolis,Memphis,Atlanta,Miami,Denver,Kansas City,Houston,Phoenix,Philadelphia,San Antonio,San Diego,Dallas,Austin,Jacksonville,San Jose,Columbus,Charlotte,Washington,El Paso,Colorado Springs,Iowa City,Omaha,Raleigh,Tulsa,Long Beach,Wichita,New Orleans,Henderson,Lexington,Cincinnati,Anchorage,Madison,
0,614,952,790,708,1095,876,1285,1776,1189,1628,2409,93,1823,2760,1548,1743,932,2938,536,625,225,2182,1777,996,1242,504,1345,2806,1385,1304,2537,706,639,4367,941,
614,0,531,283,287,744,722,1385,1268,764,1300,1985,584,1458,2343,1185,1380,1010,2430,203,629,521,1717,1339,488,733,680,922,2298,957,1064,2028,344,263,3859,432,
952,531,0,297,245,283,554,1216,849,248,779,1458,886,904,1809,631,826,900,2089,418,713,815,1190,833,260,432,821,394,1842,441,678,1599,337,350,3726,359,
790,283,297,0,182,533,715,1378,1002,525,1083,1753,760,1241,2077,968,1163,1062,2164,356,755,696,1485,1073,222,468,806,690,2032,705,927,1763,372,295,3574,147,
708,287,245,182,0,464,533,1195,1083,482,1014,1698,643,1172,2050,899,1094,880,2290,176,575,573,1431,1067,366,611,626,635,2083,675,819,1840,189,112,3756,330,
1095,744,283,533,464,0,391,1052,1094,451,567,1425,1015,725,1776,452,647,736,2050,589,619,877,1086,1077,528,635,749,401,1809,577,395,1566,423,482,3978,641,
876,722,554,715,533,391,0,663,1402,801,793,1807,779,988,2139,781,930,346,2432,567,244,639,1416,1384,812,983,407,783,2191,959,469,1948,382,461,4292,866,
1285,1385,1216,1378,1195,1052,663,0,2066,1463,1187,2362,1192,1382,2655,1309,1351,346,3000,1152,729,1052,1932,2047,1474,1646,801,1445,2740,1621,863,2516,1044,1123,4955,1528,
1776,1268,849,1002,1083,1094,1402,2066,0,604,1031,821,1727,921,1078,797,909,1748,1284,1259,1561,1656,637,70,784,539,1668,692,1033,519,1303,763,1185,1191,3180,957,
1189,764,248,525,482,451,801,1463,604,0,745,1205,1125,812,1556,552,734,1146,1842,657,959,1054,938,587,307,185,1067,271,1634,195,849,1365,583,589,3528,480,
1628,1300,779,1083,1014,567,793,1187,1031,745,0,1176,1547,197,1470,239,165,871,1886,1156,1037,1408,746,963,1047,896,1199,494,1554,602,348,1441,990,1049,4130,1135,
