43,
New York City,Detroit,St. Louis,Chicago,Indianapolis,Memphis,Atlanta,Miami,Denver,Kansas City,Houston,Phoenix,Philadelphia,San Antonio,San Diego,Dallas,Austin,Jacksonville,San Jose,Columbus,Charlotte,Washington,El Paso,Colorado Springs,Iowa City,Omaha,Raleigh,Tulsa,Long Beach,Wichita,New Orleans,Henderson,Lexington,Cincinnati,Anchorage,Madison,Toronto,Montreal,Vancouver,Quebec City,Mexico City,San Francisco,Guadalajara,
0,614,952,790,708,1095,876,1285,1776,1189,1628,2409,93,1823,2760,1548,1743,932,2938,536,625,225,2182,1777,996,1242,504,1345,2806,1385,1304,2537,706,639,4367,941,491,370,2993,519,2554,2918,2576,
614,0,531,283,287,744,722,1385,1268,764,1300,1985,584,1458,2343,1185,1380,1010,2430,203,629,521,1717,1339,488,733,680,922,2298,957,1064,2028,344,263,3859,432,231,559,2485,724,2226,2410,2248,
952,531,0,297,245,283,554,1216,849,248,779,1458,886,904,1809,631,826,900,2089,418,713,815,1190,833,260,432,821,394,1842,441,678,1599,337,350,3726,359,758,1086,2219,1251,1705,2057,1693,
790,283,297,0,182,533,715,1378,1002,525,1083,1753,760,1241,2077,968,1163,1062,2164,356,755,696,1485,1073,222,468,806,690,2032,705,927,1763,372,295,3574,147,513,841,2200,1006,2008,2132,2030,
708,287,245,182,0,464,533,1195,1083,482,1014,1698,643,1172,2050,899,1094,880,2290,176,575,573,1431,1067,366,611,626,635,2083,675,819,1840,189,112,3756,330,516,844,2383,1009,1939,2259,1961,
1095,744,283,533,464,0,391,1052,1094,451,567,1425,1015,725,1776,452,647,736,2050,589,619,877,1086,1077,528,635,749,401,1809,577,395,1566,423,482,3978,641,973,1303,2422,1468,1493,2092,1515,
876,722,554,715,533,391,0,663,1402,801,793,1807,779,988,2139,781,930,346,2432,567,244,639,1416,1384,812,983,407,783,2191,959,469,1948,382,461,4292,866,951,1224,2771,1372,1718,2474,1741,
1285,1385,1216,1378,1195,1052,663,0,2066,1463,1187,2362,1192,1382,2655,1309,1351,346,3000,1152,729,1052,1932,2047,1474,1646,801,1445,2740,1621,863,2516,1044,1123,4955,1528,1486,1637,3433,1786,2113,3042,2135,
1776,1268,849,1002,1083,1094,1402,2066,0,604,1031,821,1727,921,1078,797,909,1748,1284,1259,1561,1656,637,70,784,539,1668,692,1033,519,1303,763,1185,1191,3180,957,1498,1826,1441,1992,1710,1252,1635,
1189,764,248,525,482,451,801,1463,604,0,745,1205,1125,812,1556,552,734,1146,1842,657,959,1054,938,587,307,185,1067,271,1634,195,849,1365,583,589,3528,480,994,1322,1972,1487,1637,1810,1601,
1628,1300,779,1083,1014,567,793,1187,1031,745,0,1176,1547,197,1470,239,165,871,1886,1156,1037,1408,746,963,1047,896,1199,494,1554,602,348,1441,990,1049,4130,1135,1520,1848,2451,2014,926,1928,948,
2409,1985,1458,1753,1698,1425,1807,2362,821,1205,1176,0,2342,981,355,1064,1006,2044,712,1874,2043,2300,430,795,1513,1303,2173,1065,380,1011,1522,287,1794,1806,3637,1686,2215,2543,1551,2708,1572,754,1195,
93,584,886,760,643,1015,779,1192,1727,1125,1547,2342,0,1742,2693,1467,1662,846,2907,469,539,139,2101,1710,966,1211,419,1278,2726,1318,1223,2483,641,572,4337,910,498,453,2963,601,2473,2887,2495,
1823,1458,904,1241,1172,725,988,1382,921,812,197,981,1742,0,1274,274,79,1066,1691,1315,1231,1603,551,864,1121,918,1394,531,1359,624,543,1265,1149,1208,4100,1262,1679,2007,2279,2173,831,1733,790,
2760,2343,1809,2077,2050,1776,2139,2655,1078,1556,1470,355,2693,1274,0,1358,1300,2339,459,2227,2384,2653,724,1151,1864,1619,2546,1418,112,1364,1816,342,2146,2159,3519,2037,2579,2906,1397,3072,1866,502,1401,
1548,1185,631,968,899,452,781,1309,797,552,239,1064,1467,274,1358,0,195,993,1691,1041,1025,1329,635,730,810,658,1188,257,1443,364,505,1207,875,934,3892,988,1406,1734,2218,1899,1099,1734,1063,
1743,1380,826,1163,1094,647,930,1351,909,734,165,1006,1662,79,1300,195,0,1034,1716,1236,1173,1524,576,852,1043,839,1336,452,1384,545,511,1254,1070,1129,4087,1183,1601,1929,2254,2094,905,1758,869,
932,1010,900,1062,880,736,346,346,1748,1146,871,2044,846,1066,2339,993,1034,0,2683,806,383,706,1615,1730,1157,1329,454,1128,2423,1304,546,2199,717,796,4638,1211,1140,1291,3116,1440,1796,2725,1818,
