12,
New York City,Detroit,St. Louis,Chicago,Indianapolis,Memphis,Atlanta,Miami,Denver,Kansas City,Los Angeles,Vancouver,
0,614,952,790,708,1095,876,1285,1776,1189,2789,2993,
614,0,531,283,287,744,722,1385,1268,764,2281,2485,
952,531,0,297,245,283,554,1216,849,248,1825,2219,
790,283,297,0,182,533,715,1378,1002,525,2015,2200,
708,287,245,182,0,464,533,1195,1083,482,2066,2383,
1095,744,283,533,464,0,391,1052,1094,451,1792,2422,
876,722,554,715,533,391,0,663,1402,801,2174,2771,
1285,1385,1216,1378,1195,1052,663,0,2066,1463,2733,3433,
1776,1268,849,1002,1083,1094,1402,2066,0,604,1016,1441,
1189,764,248,525,482,451,801,1463,604,0,1617,1972,
2789,2281,1825,2015,2066,1792,2174,2733,1016,1617,0,1278,
2993,2485,2219,2200,2383,2422,2771,3433,1441,1972,1278,0,
