21,
New York City,Detroit,St. Louis,Chicago,Indianapolis,Memphis,Atlanta,Miami,Denver,Kansas City,Houston,Phoenix,Philadelphia,San Antonio,San Diego,Dallas,Austin,Jacksonville,San Jose,Columbus,Charlotte,
0,614,952,790,708,1095,876,1285,1776,1189,1628,2409,93,1823,2760,1548,1743,932,2938,536,625,
614,0,531,283,287,744,722,1385,1268,764,1300,1985,584,1458,2343,1185,1380,1010,2430,203,629,
952,531,0,297,245,283,554,1216,849,248,779,1458,886,904,1809,631,826,900,2089,418,713,
790,283,297,0,182,533,715,1378,1002,525,1083,1753,760,1241,2077,968,1163,1062,2164,356,755,
708,287,245,182,0,464,533,1195,1083,482,1014,1698,643,1172,2050,899,1094,880,2290,176,575,
1095,744,283,533,464,0,391,1052,1094,451,567,1425,1015,725,1776,452,647,736,2050,589,619,
876,722,554,715,533,391,0,663,1402,801,793,1807,779,988,2139,781,930,346,2432,567,244,
1285,1385,1216,1378,1195,1052,663,0,2066,1463,1187,2362,1192,1382,2655,1309,1351,346,3000,1152,729,
1776,1268,849,1002,1083,1094,1402,2066,0,604,1031,821,1727,921,1078,797,909,1748,1284,1259,1561,
1189,764,248,525,482,451,801,1463,604,0,745,1205,1125,812,1556,552,734,1146,1842,657,959,
1628,1300,779,1083,1014,567,793,1187,1031,745,0,1176,1547,197,1470,239,165,871,1886,1156,1037,
2409,1985,1458,1753,1698,1425,1807,2362,821,1205,1176,0,2342,981,355,1064,1006,2044,712,1874,2043,
93,584,886,760,643,1015,779,1192,1727,1125,1547,2342,0,1742,2693,1467,1662,846,2907,469,539,
1823,1458,904,1241,1172,725,988,1382,921,812,197,981,1742,0,1274,274,79,1066,1691,1315,1231,
2760,2343,1809,2077,2050,1776,2139,2655,1078,1556,1470,355,2693,1274,0,1358,1300,2339,459,2227,2384,
1548,1185,631,968,899,452,781,1309,797,552,239,1064,1467,274,1358,0,195,993,1691,1041,1025,
1743,1380,826,1163,1094,647,930,1351,909,734,165,1006,1662,79,1300,195,0,1034,1716,1236,1173,
932,1010,900,1062,880,736,346,346,1748,1146,871,2044,846,1066,2339,993,1034,0,2683,806,383,
2938,2430,2089,2164,2290,2050,2432,3000,1284,1842,1886,712,2907,1691,459,1691,1716,2683,0,2458,2667,
536,203,418,356,176,589,567,1152,1259,657,1156,1874,469,1315,2227,1041,1236,806,2458,0,426,
625,629,713,755,575,619,244,729,1561,959,1037,2043,539,1231,2384,1025,1173,383,2667,426,0,
