15,
New York City,Detroit,St. Louis,Chicago,Indianapolis,Memphis,Atlanta,Miami,Denver,Kansas City,Boston,Montreal,Las Vegas,Los Angeles,Houston,
0,614,952,790,708,1095,876,1285,1776,1189,215,370,2522,2789,1628,
0,0,531,283,287,744,722,1385,1268,764,713,559,2013,2281,1300,
0,531,0,297,245,283,554,1216,849,248,1191,1086,1596,1825,779,
0,283,297,0,182,533,715,1378,1002,525,984,841,1747,2015,1083,
0,287,245,182,0,464,533,1195,1083,482,949,844,1830,2066,1014,
0,744,283,533,464,0,391,1052,1094,451,1316,1303,1581,1792,567,
0,722,554,715,533,391,0,663,1402,801,1081,1224,1963,2174,793,
0,1385,1216,1378,1195,1052,663,0,2066,1463,1493,1637,2531,2733,1187,
0,1268,849,1002,1083,1094,1402,2066,0,604,1970,1826,748,1016,1031,
0,764,248,525,482,451,801,1463,604,0,1431,1322,1350,1617,745,
0,713,1191,984,949,1316,1081,1493,1970,1431,0,308,2715,2983,1849,
0,559,1086,841,844,1303,1224,1637,1826,1322,308,0,2572,2840,1857,
0,2013,1596,1747,1830,1581,1963,2531,748,1350,2715,2572,0,270,1456,
0,2281,1825,2015,2066,1792,2174,2733,1016,1617,2983,2840,270,0,1548,
1628,1300,779,1083,1014,567,793,1187,1031,745,1849,1857,1456,1548,0,
